      Name                       Iter             Cost        RelResidual    Time    Nnz_Orgigin    Nnz_Minimizer  norm(x_x0)
e_UnScaled_4x4                      7           2.798959e-02   2.678049e-05   2.144   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           4.157946e-01   1.128768e-06   4.135   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           4.157946e-01   1.128768e-06   2.517   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           4.157946e-01   1.128768e-06   2.486   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           5.002528e-01   1.565630e-06   2.483   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           5.002528e-01   1.565630e-06   2.470   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           5.002528e-01   1.565630e-06   2.587   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           6.190845e-01   2.512712e-07   6.007   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           8.871136e-01   4.208574e-05   35.900   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           1.092042e+00   2.705395e-05   110.803   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           6.855404e-01   9.366669e-05   10.020   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           8.138679e-01   5.152726e-05   525.523   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           1.092042e+00   2.705395e-05   135.163   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           8.138679e-01   5.152726e-05   463.633   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           6.855404e-01   9.366669e-05   9.865   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           6.855404e-01   9.366669e-05   6.559   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           6.852323e-01   7.469651e-07   8.718   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           6.855404e-01   9.366669e-05   9.927   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           6.855404e-01   9.366669e-05   9.899   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           5.486630e-01   3.433742e-06   3.073   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           5.486630e-01   3.433742e-06   3.101   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      7           2.798959e-02   2.678049e-05   2.089   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           6.855404e-01   9.366669e-05   9.909   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           6.855404e-01   9.366669e-05   10.039   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           6.855404e-01   9.366669e-05   9.817   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           1.092042e+00   2.705395e-05   112.657   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           5.486630e-01   3.433742e-06   3.131   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      5           5.486627e-01   2.524486e-07   2.257   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      5           5.486627e-01   2.524486e-07   2.248   0.000000e+00   0.000000e+00   0.000000e+00   
